expo,table,project,sponsors,link,category,special
1,78,"Mercury: E-commerce metrics, history, and context","Best Use of Walmart API,Best Sustainable Hack (Walmart),Top Hack Using .CO,Best Use of Analytics and Analysis (Bloomberg),Best Money Saving Hack (Concur),Best Use of Parse API,Best Use of Wolfram Tech,Best Team Collaboration on a Project -  American Express,Most Professional Hack by LinkedIn,Best Use of Namecheap,Best Way to Visualize Data -  Qualtrics,Best eCommerce Hack -  Walmart,Best Domain.com Domain Name",http://mhacks6.devpost.com/submissions/40171-mercury-e-commerce-metrics-history-and-context,Web Development,0
1,79,Raymaze,"Top Hack Using .CO,Judge's / Player's Choice (Electronic Arts)",http://mhacks6.devpost.com/submissions/40172-raymaze,VR/Game Development,0
1,80,Caremaker,Best Hack for Social Impact - Spnosored by VFA,http://mhacks6.devpost.com/submissions/40175-caremaker,Web Development,0
1,81,Holodeck,"Best Travel Hack (Delta),Judge's / Player's Choice (Electronic Arts),Best Overall Use of Microsoft Technology,Best Team Collaboration on a Project -  American Express,Most Professional Hack by LinkedIn,Best Way to Visualize Data -  Qualtrics",http://mhacks6.devpost.com/submissions/40176-holodeck,VR/Game Development,1
1,82,"Mind, Body & Fear","Judge's / Player's Choice (Electronic Arts),Best Overall Use of Microsoft Technology,Best Team Collaboration on a Project -  American Express",http://mhacks6.devpost.com/submissions/40177-mind-body-fear,VR/Game Development,1
1,83,forests,"Top Hack Using .CO,Best iOS App (Apple),Best Use of Analytics and Analysis (Bloomberg),Best Use of Parse API,Best Team Collaboration on a Project -  American Express,Best Way to Visualize Data -  Qualtrics",http://mhacks6.devpost.com/submissions/40178-forests,Miscellaneous,0
1,84,hypercube,,http://mhacks6.devpost.com/submissions/40180-hypercube,VR/Game Development,0
1,85,GibJab,"Best Use of Firebase,Best Use of Namecheap,Best Domain.com Domain Name",http://mhacks6.devpost.com/submissions/40182-gibjab,Web Development,0
1,86,FlightBook,"Best Money Saving Hack (Concur),Best Use of Expedia's API,Best Use of Microsoft Azure,Best Overall Use of Microsoft Technology",http://mhacks6.devpost.com/submissions/40184-flightbook,Web Development,0
1,87,pARfs,"Judge's / Player's Choice (Electronic Arts),Best Use of Firebase",http://mhacks6.devpost.com/submissions/40186-parfs,VR/Game Development,0
1,88,Travel Packages for Facebook Events,"Best Travel Hack (Delta),Best Use of Expedia's API",http://mhacks6.devpost.com/submissions/40188-travel-packages-for-facebook-events,Web Development,0
1,89,FlightBook,"Best Money Saving Hack (Concur),Best Travel Hack (Delta),Best Use of Expedia's API,Best Use of Microsoft Azure,Best Overall Use of Microsoft Technology",http://mhacks6.devpost.com/submissions/40189-flightbook,Web Development,0
1,90,Study With Me,"Top Hack Using .CO,Best Use of Firebase,Best Team Collaboration on a Project -  American Express,Most Professional Hack by LinkedIn,Best Hack for Social Impact - Spnosored by VFA",http://mhacks6.devpost.com/submissions/40190-study-with-me,Web Development,0
1,91,Fusion Furniture,"Best iOS App (Apple),Best Money Saving Hack (Concur),Best Use of Firebase,Best Use of Microsoft Azure,Best Overall Use of Microsoft Technology,Best Use of Wolfram Tech,Best Team Collaboration on a Project -  American Express",http://mhacks6.devpost.com/submissions/40193-fusion-furniture,Web Development,0
1,92,Subliminal,Best Use of MongoDB,http://mhacks6.devpost.com/submissions/40194-subliminal,Web Development,0
1,93,Git Grader,"Judge's / Player's Choice (Electronic Arts),Best Business Solution App Using Open Source (Goldman Sachs),Best Use of Microsoft Azure,Most Professional Hack by LinkedIn",http://mhacks6.devpost.com/submissions/40195-git-grader,Web Development,0
1,94,Hokie House,"Top Hack Using .CO,Best Money Saving Hack (Concur),Judge's / Player's Choice (Electronic Arts),Best Use of Firebase,Best Team Collaboration on a Project -  American Express,Best Use of Namecheap,Best Hack for Social Impact - Spnosored by VFA",http://mhacks6.devpost.com/submissions/40197-hokie-house,Web Development,0
1,95,MYOwn Drums,"Judge's / Player's Choice (Electronic Arts),Best Team Collaboration on a Project -  American Express,Most Professional Hack by LinkedIn",http://mhacks6.devpost.com/submissions/40202-myown-drums,VR/Game Development,1
1,96,Sup,Best Use of Firebase,http://mhacks6.devpost.com/submissions/40205-sup,Web Development,0
1,97,Share My Ride,Best of Uber API,http://mhacks6.devpost.com/submissions/40206-share-my-ride,Web Development,0
1,98,Filter Fiasco,"Top Hack Using .CO,Best iOS App (Apple),Judge's / Player's Choice (Electronic Arts),Best Use of Parse API",http://mhacks6.devpost.com/submissions/40212-filter-fiasco,Web Development,0
